15025,New York,NY,Ontario,36069.0,Democrat,Bernie Sanders,3361,0.5379999999999999
15026,New York,NY,Ontario,36069.0,Democrat,Hillary Clinton,2884,0.462
15027,New York,NY,Orange,36071.0,Democrat,Bernie Sanders,11536,0.485
15028,New York,NY,Orange,36071.0,Democrat,Hillary Clinton,12239,0.515
15029,New York,NY,Orleans,36073.0,Democrat,Bernie Sanders,877,0.574
15030,New York,NY,Orleans,36073.0,Democrat,Hillary Clinton,650,0.426
15031,New York,NY,Oswego,36075.0,Democrat,Bernie Sanders,3066,0.5579999999999999
15032,New York,NY,Oswego,36075.0,Democrat,Hillary Clinton,2424,0.442
15033,New York,NY,Otsego,36077.0,Democrat,Bernie Sanders,2623,0.591
15034,New York,NY,Otsego,36077.0,Democrat,Hillary Clinton,1817,0.409
15035,New York,NY,Putnam,36079.0,Democrat,Bernie Sanders,3573,0.507
15036,New York,NY,Putnam,36079.0,Democrat,Hillary Clinton,3477,0.493
15037,New York,NY,Queens,36081.0,Democrat,Bernie Sanders,76305,0.384
15038,New York,NY,Queens,36081.0,Democrat,Hillary Clinton,122386,0.616
15039,New York,NY,Rensselaer,36083.0,Democrat,Bernie Sanders,6649,0.584
15040,New York,NY,Rensselaer,36083.0,Democrat,Hillary Clinton,4738,0.416
15041,New York,NY,Rockland,36087.0,Democrat,Bernie Sanders,11072,0.395
15042,New York,NY,Rockland,36087.0,Democrat,Hillary Clinton,16966,0.605
15043,New York,NY,Saint Lawrence,36089.0,Democrat,Bernie Sanders,4102,0.589
15044,New York,NY,Saint Lawrence,36089.0,Democrat,Hillary Clinton,2865,0.411
15045,New York,NY,Saratoga,36091.0,Democrat,Bernie Sanders,9112,0.5579999999999999
15046,New York,NY,Saratoga,36091.0,Democrat,Hillary Clinton,7206,0.442
15047,New York,NY,Schenectady,36093.0,Democrat,Bernie Sanders,6862,0.528
15048,New York,NY,Schenectady,36093.0,Democrat,Hillary Clinton,6146,0.472
15049,New York,NY,Schoharie,36095.0,Democrat,Bernie Sanders,1088,0.636
15050,New York,NY,Schoharie,36095.0,Democrat,Hillary Clinton,622,0.364
15051,New York,NY,Schuyler,36097.0,Democrat,Bernie Sanders,818,0.625
15052,New York,NY,Schuyler,36097.0,Democrat,Hillary Clinton,491,0.375
15053,New York,NY,Seneca,36099.0,Democrat,Bernie Sanders,1164,0.528
15054,New York,NY,Seneca,36099.0,Democrat,Hillary Clinton,1042,0.472
15055,New York,NY,Staten Island,36085.0,Democrat,Bernie Sanders,14340,0.471
15056,New York,NY,Staten Island,36085.0,Democrat,Hillary Clinton,16127,0.529
15057,New York,NY,Steuben,36101.0,Democrat,Bernie Sanders,2709,0.579
15058,New York,NY,Steuben,36101.0,Democrat,Hillary Clinton,1970,0.421
15059,New York,NY,Suffolk,36103.0,Democrat,Bernie Sanders,41363,0.453
15060,New York,NY,Suffolk,36103.0,Democrat,Hillary Clinton,49926,0.547
15061,New York,NY,Sullivan,36105.0,Democrat,Bernie Sanders,2671,0.561
15062,New York,NY,Sullivan,36105.0,Democrat,Hillary Clinton,2088,0.439
15063,New York,NY,Tioga,36107.0,Democrat,Bernie Sanders,1825,0.597
15064,New York,NY,Tioga,36107.0,Democrat,Hillary Clinton,1232,0.403
15065,New York,NY,Tompkins,36109.0,Democrat,Bernie Sanders,9298,0.623
15066,New York,NY,Tompkins,36109.0,Democrat,Hillary Clinton,5625,0.377
15067,New York,NY,Ulster,36111.0,Democrat,Bernie Sanders,11572,0.626
15068,New York,NY,Ulster,36111.0,Democrat,Hillary Clinton,6927,0.374
15069,New York,NY,Warren,36113.0,Democrat,Bernie Sanders,2637,0.617
15070,New York,NY,Warren,36113.0,Democrat,Hillary Clinton,1639,0.383
15071,New York,NY,Washington,36115.0,Democrat,Bernie Sanders,2087,0.6409999999999999
15072,New York,NY,Washington,36115.0,Democrat,Hillary Clinton,1167,0.359
15073,New York,NY,Wayne,36117.0,Democrat,Bernie Sanders,2319,0.555
15074,New York,NY,Wayne,36117.0,Democrat,Hillary Clinton,1859,0.445
15075,New York,NY,Westchester,36119.0,Democrat,Bernie Sanders,33726,0.326
15076,New York,NY,Westchester,36119.0,Democrat,Hillary Clinton,69628,0.674
15077,New York,NY,Wyoming,36121.0,Democrat,Bernie Sanders,909,0.605
15078,New York,NY,Wyoming,36121.0,Democrat,Hillary Clinton,594,0.395
15079,New York,NY,Yates,36123.0,Democrat,Bernie Sanders,669,0.5479999999999999
15080,New York,NY,Yates,36123.0,Democrat,Hillary Clinton,552,0.452
15081,New York,NY,Albany,36001.0,Republican,Donald Trump,6381,0.481
15082,New York,NY,Albany,36001.0,Republican,John Kasich,4690,0.353
15083,New York,NY,Albany,36001.0,Republican,Ted Cruz,2197,0.166
15084,New York,NY,Allegany,36003.0,Republican,Donald Trump,2702,0.5489999999999999
15085,New York,NY,Allegany,36003.0,Republican,John Kasich,1116,0.227
15086,New York,NY,Allegany,36003.0,Republican,Ted Cruz,1101,0.224
15087,New York,NY,Bronx,36005.0,Republican,Donald Trump,4261,0.675
15088,New York,NY,Bronx,36005.0,Republican,John Kasich,1033,0.16399999999999998
15089,New York,NY,Bronx,36005.0,Republican,Ted Cruz,1022,0.162
15090,New York,NY,Brooklyn,36047.0,Republican,Donald Trump,14984,0.642
15091,New York,NY,Brooklyn,36047.0,Republican,John Kasich,3741,0.16
15092,New York,NY,Brooklyn,36047.0,Republican,Ted Cruz,4603,0.197
15093,New York,NY,Broome,36007.0,Republican,Donald Trump,8409,0.4970000000000001
15094,New York,NY,Broome,36007.0,Republican,John Kasich,4822,0.285
